Timestamp,Emotion,Confidence
2025-08-20 17:52:50,Neutral,0.84
2025-08-20 17:52:50,Neutral,0.80
2025-08-20 17:52:50,Neutral,0.78
2025-08-20 17:52:51,Neutral,0.62
2025-08-20 17:52:51,Neutral,0.75
2025-08-20 17:52:51,Neutral,0.63
2025-08-20 17:52:52,Neutral,0.73
2025-08-20 17:52:52,Neutral,0.70
2025-08-20 17:52:53,Neutral,0.69
2025-08-20 17:52:53,Neutral,0.67
2025-08-20 17:52:53,Neutral,0.67
2025-08-20 17:52:54,Neutral,0.75
2025-08-20 17:52:54,Neutral,0.58
2025-08-20 17:52:54,Neutral,0.63
2025-08-20 17:52:55,Neutral,0.60
2025-08-20 17:52:55,Neutral,0.49
2025-08-20 17:52:55,Neutral,0.63
2025-08-20 17:52:56,Neutral,0.60
2025-08-20 17:52:56,Neutral,0.61
2025-08-20 17:52:56,Neutral,0.60
2025-08-20 17:52:57,Neutral,0.65
2025-08-20 17:52:57,Neutral,0.65
2025-08-20 17:52:57,Neutral,0.62
2025-08-20 17:52:58,Neutral,0.69
2025-08-20 17:52:58,Neutral,0.66
2025-08-20 17:52:58,Neutral,0.68
2025-08-20 17:52:59,Neutral,0.62
2025-08-20 17:52:59,Neutral,0.59
2025-08-20 17:52:59,Neutral,0.54
2025-08-20 17:53:00,Neutral,0.68
2025-08-20 17:53:00,Neutral,0.44
2025-08-20 17:53:00,Surprise,0.34
2025-08-20 17:53:01,Neutral,0.57
2025-08-20 17:53:01,Happy,0.55
2025-08-20 17:53:01,Happy,0.62
2025-08-20 17:53:02,Happy,0.76
2025-08-20 17:53:02,Happy,0.49
2025-08-20 17:53:02,Neutral,0.60
2025-08-20 17:53:03,Neutral,0.73
2025-08-20 17:53:03,Neutral,0.76
2025-08-20 17:53:03,Neutral,0.81
2025-08-20 17:53:04,Neutral,0.71
2025-08-20 17:53:04,Neutral,0.61
2025-08-20 17:53:04,Neutral,0.71
2025-08-20 17:53:05,Neutral,0.76
2025-08-20 17:53:05,Neutral,0.75
2025-08-20 17:53:05,Neutral,0.86
2025-08-20 17:53:06,Neutral,0.75
2025-08-20 17:53:06,Neutral,0.81
2025-08-20 17:53:06,Neutral,0.80
2025-08-20 17:53:07,Neutral,0.83
2025-08-20 17:53:07,Neutral,0.82
2025-08-20 17:53:07,Neutral,0.77
2025-08-20 17:53:08,Neutral,0.81
2025-08-20 17:53:08,Neutral,0.81
2025-08-20 17:53:09,Neutral,0.76
2025-08-20 17:53:09,Neutral,0.71
2025-08-20 17:53:09,Neutral,0.63
2025-08-20 17:53:10,Neutral,0.72
2025-08-20 17:53:10,Neutral,0.78
2025-08-20 17:53:10,Neutral,0.81
2025-08-20 17:53:11,Neutral,0.68
2025-08-20 17:53:11,Neutral,0.70
2025-08-20 17:53:11,Neutral,0.73
2025-08-20 17:53:12,Neutral,0.69
2025-08-20 17:53:12,Neutral,0.71
2025-08-20 17:53:13,Neutral,0.78
2025-08-20 17:53:13,Neutral,0.70
2025-08-20 17:53:13,Neutral,0.64
2025-08-20 17:53:14,Neutral,0.73
2025-08-20 17:53:14,Neutral,0.75
2025-08-20 17:53:14,Neutral,0.73
2025-08-20 17:53:15,Neutral,0.66
2025-08-20 17:53:15,Neutral,0.56
2025-08-20 17:53:15,Neutral,0.50
2025-08-20 17:53:16,Neutral,0.59
2025-08-20 17:53:16,Neutral,0.50
2025-08-20 17:53:17,Neutral,0.51
2025-08-20 17:53:18,Neutral,0.51
2025-08-20 17:53:19,Neutral,0.54
